Average Temperature (F),Current # of Cases COVID-19,Country
58.588571428571434,6468.0,Australia
71.44571428571422,14476.0,Austria
61.62285714285711,29929.0,Canada
50.77142857142859,82341.0,China
43.36571428571427,6879.0,Denmark
36.73142857142856,3369.0,Finland
56.582857142857144,165027.0,France
41.488571428571426,137698.0,Germany
56.29999999999999,168941.0,Italy
48.89428571428569,8626.0,Japan
45.80857142857143,29214.0,Netherlands
79.98285714285718,1401.0,New Zealand
44.291428571428575,6896.0,Norway
82.91428571428571,4427.0,Singapore
43.828571428571415,10613.0,South Korea
61.828571428571436,184948.0,Spain
37.86285714285712,12540.0,Sweden
47.12000000000002,26732.0,Switzerland
61.90571428571426,103093.0,United Kingdom
80.7028571428572,677056.0,United States
